"","draw_year","avg_jackpot_per_winner"
"1","2000",23031.2947221982
"2","2001",26654.6634044754
"3","2002",27312.2932717575
"4","2003",27048.4586405322
"5","2004",27450.0490555986
"6","2005",28613.0348326233
"7","2006",28344.6362932074
"8","2007",28425.564292818
"9","2008",23284.6641753876
"10","2009",25024.9449206349
"11","2010",29957.4868351954
"12","2011",33006.761140481
"13","2012",34121.5690065653
"14","2013",32144.6714778423
"15","2014",31657.8148320018
"16","2015",31874.0679296066
"17","2016",32893.0441224571
"18","2017",31647.9895453131
"19","2018",32454.6319772942
"20","2019",31115.1039426523
"21","2020",34376.3898305085
