"","draw_year","yearly_avg_jackpot","yearly_mid_jackpot"
"1",2000,285825.431085271,277116.84
"2",2001,158772.39281746,138593.36
"3",2002,108113.086286645,106819.26
"4",2003,103571.533094463,104005.02
"5",2004,107354.241856678,106096.95
"6",2005,84936.9359672131,107680.76
"7",2006,85481.0037581699,112084.385
"8",2007,103557.923529412,118380.56
"9",2008,28777.4931391586,32238.18
"10",2009,28731.0134313726,29749.95
"11",2010,101950.474313725,120636.89
"12",2011,133836.51029316,132982
"13",2012,145092.798701299,141375
"14",2013,146880.075424837,144771
"15",2014,147610.931758958,157440
"16",2015,128601.358306189,159536
"17",2016,173080.622459547,168990
"18",2017,167284.960588235,164977
"19",2018,171965.078175896,165702
"20",2019,156550.094155844,165463
"21",2020,127194.6,154305
